community,sku_from,sku_to,elasticity_cross
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0000,BFGoodrich_Agrícola_Implementos_0021,0.3606
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0064,BFGoodrich_Agrícola_Implementos_0021,0.203
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,BFGoodrich_Agrícola_Implementos_0021,0.0987
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0006,BFGoodrich_Agrícola_Implementos_0021,0.5623
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0032,BFGoodrich_Agrícola_Implementos_0021,0.4919
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0006,Bridgestone_Agrícola_Implementos_0076,0.172
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0010,Bridgestone_Agrícola_Implementos_0076,0.6096
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0013,Bridgestone_Agrícola_Implementos_0076,0.6993
Agrícola_|_Implementos_Community_02,Nokian_Agrícola_Implementos_0068,Bridgestone_Agrícola_Implementos_0076,0.0907
Agrícola_|_Implementos_Community_02,Roadmarch_Agrícola_Implementos_0023,Bridgestone_Agrícola_Implementos_0076,0.2901
Agrícola_|_Implementos_Community_02,Falken_Agrícola_Implementos_0034,Continental_Agrícola_Implementos_0071,0.1229
Agrícola_|_Implementos_Community_02,Nokian_Agrícola_Implementos_0011,Continental_Agrícola_Implementos_0071,0.0977
Agrícola_|_Implementos_Community_02,Roadmarch_Agrícola_Implementos_0004,Continental_Agrícola_Implementos_0071,0.4223
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0043,Continental_Agrícola_Implementos_0071,0.9135
Agrícola_|_Implementos_Community_02,Triangle_Agrícola_Implementos_0047,Continental_Agrícola_Implementos_0071,0.0531
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0000,Dunlop_Agrícola_Implementos_0058,0.4013
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0070,Dunlop_Agrícola_Implementos_0058,0.2126
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Dunlop_Agrícola_Implementos_0058,0.3948
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0054,Dunlop_Agrícola_Implementos_0058,0.2206
Agrícola_|_Implementos_Community_02,Kumho_Agrícola_Implementos_0003,Dunlop_Agrícola_Implementos_0058,0.1872
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0032,Dunlop_Agrícola_Implementos_0058,0.1965
Agrícola_|_Implementos_Community_02,Uniroyal_Agrícola_Implementos_0055,Dunlop_Agrícola_Implementos_0058,0.0713
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Falken_Agrícola_Implementos_0034,0.6471
Agrícola_|_Implementos_Community_02,Goodyear_Agrícola_Implementos_0007,Falken_Agrícola_Implementos_0034,0.1472
Agrícola_|_Implementos_Community_02,Roadmarch_Agrícola_Implementos_0023,Falken_Agrícola_Implementos_0034,0.2083
Agrícola_|_Implementos_Community_02,Tracmax_Agrícola_Implementos_0036,Falken_Agrícola_Implementos_0034,0.1006
Agrícola_|_Implementos_Community_02,Triangle_Agrícola_Implementos_0047,Falken_Agrícola_Implementos_0034,0.2355
Agrícola_|_Implementos_Community_02,Vredestein_Agrícola_Implementos_0062,Falken_Agrícola_Implementos_0034,0.36
Agrícola_|_Implementos_Community_02,Wanli_Agrícola_Implementos_0063,Falken_Agrícola_Implementos_0034,0.0827
Agrícola_|_Implementos_Community_02,BFGoodrich_Agrícola_Implementos_0021,Firestone_Agrícola_Implementos_0000,0.6258
Agrícola_|_Implementos_Community_02,Bridgestone_Agrícola_Implementos_0076,Firestone_Agrícola_Implementos_0000,0.1519
Agrícola_|_Implementos_Community_02,Dunlop_Agrícola_Implementos_0058,Firestone_Agrícola_Implementos_0000,0.101
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0020,Firestone_Agrícola_Implementos_0000,0.0573
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Firestone_Agrícola_Implementos_0000,0.0501
Agrícola_|_Implementos_Community_02,Goodyear_Agrícola_Implementos_0007,Firestone_Agrícola_Implementos_0000,0.1333
Agrícola_|_Implementos_Community_02,Nokian_Agrícola_Implementos_0068,Firestone_Agrícola_Implementos_0000,0.1631
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0043,Firestone_Agrícola_Implementos_0000,0.0978
Agrícola_|_Implementos_Community_02,Tracmax_Agrícola_Implementos_0036,Firestone_Agrícola_Implementos_0000,0.243
Agrícola_|_Implementos_Community_02,Triangle_Agrícola_Implementos_0060,Firestone_Agrícola_Implementos_0000,0.1244
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0054,Firestone_Agrícola_Implementos_0064,0.3361
Agrícola_|_Implementos_Community_02,Kumho_Agrícola_Implementos_0003,Firestone_Agrícola_Implementos_0064,0.2498
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0032,Firestone_Agrícola_Implementos_0064,0.0672
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0043,Firestone_Agrícola_Implementos_0064,1.0392
Agrícola_|_Implementos_Community_02,Tracmax_Agrícola_Implementos_0036,Firestone_Agrícola_Implementos_0064,0.055
Agrícola_|_Implementos_Community_02,Continental_Agrícola_Implementos_0071,Firestone_Agrícola_Implementos_0070,0.1684
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Firestone_Agrícola_Implementos_0070,0.2946
Agrícola_|_Implementos_Community_02,Michelin_Agrícola_Implementos_0051,Firestone_Agrícola_Implementos_0070,0.7865
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0052,Firestone_Agrícola_Implementos_0070,0.4481
Agrícola_|_Implementos_Community_02,Bridgestone_Agrícola_Implementos_0076,Firestone_Agrícola_Implementos_0073,0.7162
Agrícola_|_Implementos_Community_02,Dunlop_Agrícola_Implementos_0058,Firestone_Agrícola_Implementos_0073,0.075
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0020,Firestone_Agrícola_Implementos_0073,0.0508
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Firestone_Agrícola_Implementos_0073,0.3019
Agrícola_|_Implementos_Community_02,Kumho_Agrícola_Implementos_0003,Firestone_Agrícola_Implementos_0073,0.2466
Agrícola_|_Implementos_Community_02,Vredestein_Agrícola_Implementos_0062,Firestone_Agrícola_Implementos_0073,0.149
Agrícola_|_Implementos_Community_02,Wanli_Agrícola_Implementos_0008,Firestone_Agrícola_Implementos_0073,0.0603
Agrícola_|_Implementos_Community_02,Bridgestone_Agrícola_Implementos_0076,Fulda_Agrícola_Implementos_0018,0.0994
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0054,Fulda_Agrícola_Implementos_0018,0.8225
Agrícola_|_Implementos_Community_02,Triangle_Agrícola_Implementos_0060,Fulda_Agrícola_Implementos_0018,0.12
Agrícola_|_Implementos_Community_02,Wanli_Agrícola_Implementos_0008,Fulda_Agrícola_Implementos_0018,0.7001
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0064,Fulda_Agrícola_Implementos_0027,0.1697
Agrícola_|_Implementos_Community_02,Fulda_Agrícola_Implementos_0077,Fulda_Agrícola_Implementos_0027,0.5483
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Fulda_Agrícola_Implementos_0027,0.8518
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0052,Fulda_Agrícola_Implementos_0027,0.2943
Agrícola_|_Implementos_Community_02,Tracmax_Agrícola_Implementos_0036,Fulda_Agrícola_Implementos_0027,0.0749
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0064,Fulda_Agrícola_Implementos_0077,0.214
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0073,Fulda_Agrícola_Implementos_0077,0.2922
Agrícola_|_Implementos_Community_02,Goodyear_Agrícola_Implementos_0007,Fulda_Agrícola_Implementos_0077,0.3814
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0010,Fulda_Agrícola_Implementos_0077,0.0776
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0013,Fulda_Agrícola_Implementos_0077,0.068
Agrícola_|_Implementos_Community_02,Triangle_Agrícola_Implementos_0060,Fulda_Agrícola_Implementos_0077,0.5995
Agrícola_|_Implementos_Community_02,Bridgestone_Agrícola_Implementos_0076,General Tire_Agrícola_Implementos_0020,0.285
Agrícola_|_Implementos_Community_02,Continental_Agrícola_Implementos_0071,General Tire_Agrícola_Implementos_0020,0.2267
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0070,General Tire_Agrícola_Implementos_0020,0.1861
