price_family,categoria,subcategoria,n_skus,revenue_total,q_total,elasticity_median,elasticity_iqr,elasticity_cross_mean,price_dispersion,brand_entropy,revenue_share,min_price,max_price,price_span,price_cv,max_brand_share,substitution_index_mean,substitution_index_std
Agrícola | Implementos,Agrícola,Implementos,80,2193181175.36,3802634.29,-1.1840656910291332,0.1177285080502243,-1.1738656235736369,0.0646854337969098,3.1384941960680712,0.0809266507597726,500.9635773162939,705.3480364217252,204.3844591054313,0.0646854337969098,0.0943054373773065,-0.5991322248257107,0.06663327122578735
Agrícola | Premium Radial,Agrícola,Premium Radial,80,1784697194.52,1080701.54,-0.7481342302110594,0.1199216914556801,-0.7446063375465066,0.0711712735582735,3.260860255720995,0.0658539149412308,1433.4726865814696,2054.8488555910544,621.3761690095848,0.0711712735582735,0.0957761965866554,-0.5217327054805202,0.08198993964406553
Agrícola | Tractor,Agrícola,Tractor,80,2293067803.47,2161361.88,-0.936157414304881,0.1130385550635996,-0.9275380520407288,0.0729258806213478,3.220527564258965,0.0846123883356035,952.5807287539936,1314.0030095846644,361.42228083067073,0.0729258806213478,0.1025718745141664,-0.5621323205481884,0.08165299469596926
Camión | Long Haul,Camión,Long Haul,80,2243877442.22,3707375.82,-0.9405586934561054,0.1090985345688217,-0.93506030824583,0.0585849984410958,3.2631771572229225,0.0827973029106739,549.0711198083068,724.2838220447284,175.2127022364216,0.0585849984410958,0.0678572044065637,-0.7480698225195317,0.0506281227320278
Camión | Obras / Mixto,Camión,Obras / Mixto,80,2174994415.16,3083443.18,-0.8185755401492287,0.0859045340454296,-0.8189899007092556,0.055437669853755,3.2589296813030373,0.0802555736925004,638.4048626198083,820.2223214057508,181.81745878594245,0.055437669853755,0.0823489562831011,-0.7401705989448265,0.04686075754351305
Camión | Regional,Camión,Regional,80,1911063216.17,3391338.22,-1.063401106756531,0.119294233285051,-1.0626545763269497,0.0657766765776135,3.2464110668600465,0.0705167211958453,502.02499584664537,749.0348811501598,247.0098853035144,0.0657766765776135,0.0828701618868436,-0.7726745866075797,0.03353187825061407
Coche | Budget,Coche,Budget,80,586293981.17,6842651.75,-2.524226709268616,0.1715086728959773,-2.511261343348731,0.0644176705963632,3.2301714700257365,0.0216337841988421,84.00414185303514,114.75125463258784,30.747112779552708,0.0644176705963632,0.0857593521592385,-0.8253059132049794,0.03506865619587025
Coche | Eco,Coche,Eco,80,1072674550.22,6374925.47,-1.441316524867474,0.1215915604903328,-1.452950118024862,0.0671179920691125,3.176171211193715,0.0395808425130682,150.92182555910543,204.3482479233227,53.42642236421728,0.0671179920691125,0.0893207807068317,-0.7205702656383046,0.0543186088490744
Coche | Performance,Coche,Performance,80,1583406388.84,4748988.57,-1.071189128629353,0.1596167295380974,-1.072782240577204,0.0670782815284342,3.282798961614093,0.0584264434147415,285.2494996805112,404.8828693290735,119.63336964856234,0.0670782815284342,0.0764502050599165,-0.6552146853144584,0.05683740055368738
Coche | Touring,Coche,Touring,80,848178433.43,5940653.21,-1.770332913628153,0.109400129323516,-1.7697386459992912,0.0586079134802762,3.2177317214779837,0.0312971133599547,129.9153249201278,181.16547444089457,51.25014952076677,0.0586079134802762,0.1075047620832077,-0.7571747627745571,0.04597020514707882
Furgoneta | Reforzado,Furgoneta,Reforzado,80,1250973127.63,5580598.47,-1.065788035473962,0.1024896823954213,-1.068437268969604,0.0611928558688907,3.2631771572229225,0.0461599190011996,207.74746900958465,267.2665607028754,59.51909169329073,0.0611928558688907,0.0798532679508889,-0.7334369087579868,0.04189510791012259
