community,pseudo_r2,elast_ref,elast_typical,elast_sintetica,mono_pct,mono_ok,gcv,n_obs,n_skus,n_roles,ratio_median,features,confidence,elast_gap,gap_flag
Agrícola_|_Implementos_Community_01,0.3251,-0.9408,-1.0259,-1.0893093742260611,1.0,True,,8839,38,,,price_ratio_centered + seasonality + role,reliable,0.06340937422606108,False
Agrícola_|_Implementos_Community_02,0.2615,-1.0416,-1.1096,-1.0893093742260611,1.0,True,,9747,42,,,price_ratio_centered + seasonality + role,reliable,0.02029062577393881,False
Agrícola_|_Premium_Radial_Community_01,0.2501,-0.6779,-0.713,-1.0893093742260611,1.0,True,,3240,14,,,price_ratio_centered + seasonality + role,low_confidence,0.37630937422606114,True
Agrícola_|_Premium_Radial_Community_02,0.1891,-1.2637,-0.9431,-1.0893093742260611,1.0,True,,8363,36,,,price_ratio_centered + seasonality + role,low_confidence,0.14620937422606106,False
Agrícola_|_Premium_Radial_Community_03,0.2707,-0.4434,-0.5831,-1.0893093742260611,1.0,True,,6888,30,,,price_ratio_centered + seasonality + role,low_confidence,0.5062093742260612,True
Agrícola_|_Tractor_Community_01,0.2376,-0.3965,-0.6797,-1.0893093742260611,1.0,True,,5975,26,,,price_ratio_centered + seasonality + role,low_confidence,0.40960937422606114,True
Agrícola_|_Tractor_Community_02,0.3872,-1.3683,-1.2708,-1.0893093742260611,1.0,True,,6490,28,,,price_ratio_centered + seasonality + role,reliable,0.18149062577393882,False
Agrícola_|_Tractor_Community_03,0.3702,-1.4329,-1.3039,-1.0893093742260611,1.0,True,,6126,26,,,price_ratio_centered + seasonality + role,reliable,0.21459062577393895,False
Camión_|_Long_Haul_Community_01,0.2494,-1.1732,-1.0566,-1.0893093742260611,1.0,True,,7252,31,,,price_ratio_centered + seasonality + role,reliable,0.03270937422606113,False
Camión_|_Long_Haul_Community_02,0.3854,-0.9423,-0.9419,-1.0893093742260611,1.0,True,,466,2,,,price_ratio_centered + seasonality + role,reliable,0.14740937422606115,False
Camión_|_Long_Haul_Community_03,0.1644,-0.5565,-0.8143,-1.0893093742260611,1.0,True,,10900,47,,,price_ratio_centered + seasonality + role,low_confidence,0.2750093742260611,False
Camión_|_Obras_/_Mixto_Community_01,0.1904,-1.4918,-1.0749,-1.0893093742260611,1.0,True,,6065,26,,,price_ratio_centered + seasonality + role,low_confidence,0.014409374226061145,False
Camión_|_Obras_/_Mixto_Community_02,0.1344,-1.0981,-0.8937,-1.0893093742260611,1.0,True,,6743,29,,,price_ratio_centered + seasonality + role,low_confidence,0.19560937422606106,False
Camión_|_Obras_/_Mixto_Community_03,0.1438,-1.2796,-0.9512,-1.0893093742260611,1.0,True,,5796,25,,,price_ratio_centered + seasonality + role,low_confidence,0.13810937422606107,False
Camión_|_Regional_Community_01,0.2414,-0.0665,-0.5821,-1.0893093742260611,1.0,True,,4665,20,,,price_ratio_centered + seasonality + role,low_confidence,0.5072093742260612,True
Camión_|_Regional_Community_02,0.3053,-1.1818,-1.1357,-1.0893093742260611,1.0,True,,5806,25,,,price_ratio_centered + seasonality + role,reliable,0.04639062577393882,False
Camión_|_Regional_Community_03,0.4569,-0.7741,-0.799,-1.0893093742260611,1.0,True,,8092,35,,,price_ratio_centered + seasonality + role,reliable,0.29030937422606107,False
Coche_|_Budget_Community_01,0.6421,-3.58,-3.58,-1.0893093742260611,1.0,True,,6292,27,,,price_ratio_centered + seasonality + role,structural_outlier,2.490690625773939,True
Coche_|_Budget_Community_02,0.6632,-2.2543,-2.2543,-1.0893093742260611,1.0,True,,6046,26,,,price_ratio_centered + seasonality + role,structural_outlier,1.164990625773939,True
Coche_|_Budget_Community_03,0.6674,-3.0388,-3.0388,-1.0893093742260611,1.0,True,,6308,27,,,price_ratio_centered + seasonality + role,structural_outlier,1.949490625773939,True
Coche_|_Eco_Community_01,0.3604,-1.034,-1.1477,-1.0893093742260611,1.0,True,,9573,41,,,price_ratio_centered + seasonality + role,reliable,0.05839062577393883,False
Coche_|_Eco_Community_02,0.4115,-1.2641,-1.2955,-1.0893093742260611,1.0,True,,9050,39,,,price_ratio_centered + seasonality + role,reliable,0.20619062577393898,False
Coche_|_Performance_Community_01,0.3515,-1.7904,-1.5768,-1.0893093742260611,1.0,True,,8800,38,,,price_ratio_centered + seasonality + role,low_confidence,0.48749062577393887,True
Coche_|_Performance_Community_02,0.2861,-1.1416,-1.1115,-1.0893093742260611,1.0,True,,9821,42,,,price_ratio_centered + seasonality + role,reliable,0.02219062577393882,False
Coche_|_Touring_Community_01,0.6085,-2.1295,-2.1295,-1.0893093742260611,1.0,True,,9340,40,,,price_ratio_centered + seasonality + role,structural_outlier,1.040190625773939,True
Coche_|_Touring_Community_02,0.5129,-1.9435,-1.9435,-1.0893093742260611,1.0,True,,7651,33,,,price_ratio_centered + seasonality + role,structural_outlier,0.8541906257739389,True
Coche_|_Touring_Community_03,0.7213,-2.7744,-2.7744,-1.0893093742260611,1.0,True,,1627,7,,,price_ratio_centered + seasonality + role,structural_outlier,1.6850906257739389,True
Furgoneta_|_Reforzado_Community_01,0.3564,-1.2258,-1.1799,-1.0893093742260611,1.0,True,,6044,26,,,price_ratio_centered + seasonality + role,reliable,0.09059062577393884,False
Furgoneta_|_Reforzado_Community_02,0.2975,-1.4195,-1.2763,-1.0893093742260611,1.0,True,,4891,21,,,price_ratio_centered + seasonality + role,reliable,0.18699062577393888,False
Furgoneta_|_Reforzado_Community_03,0.3108,-1.1982,-1.1481,-1.0893093742260611,1.0,True,,7674,33,,,price_ratio_centered + seasonality + role,reliable,0.05879062577393879,False
Furgoneta_|_Standard_Community_01,0.3571,-1.3717,-1.3698,-1.0893093742260611,1.0,True,,5744,25,,,price_ratio_centered + seasonality + role,reliable,0.2804906257739388,False
Furgoneta_|_Standard_Community_02,0.4961,-1.0319,-1.0345,-1.0893093742260611,1.0,True,,6753,29,,,price_ratio_centered + seasonality + role,reliable,0.054809374226061136,False
Furgoneta_|_Standard_Community_03,0.398,-1.0766,-1.1354,-1.0893093742260611,1.0,True,,6011,26,,,price_ratio_centered + seasonality + role,reliable,0.046090625773938854,False
Industrial_|_Construcción_Pesada_Community_01,0.3057,-1.0851,-1.0039,-1.0893093742260611,1.0,True,,7247,31,,,price_ratio_centered + seasonality + role,reliable,0.0854093742260611,False
Industrial_|_Construcción_Pesada_Community_02,0.2502,-1.5334,-1.2051,-1.0893093742260611,1.0,True,,4389,19,,,price_ratio_centered + seasonality + role,reliable,0.11579062577393895,False
Industrial_|_Construcción_Pesada_Community_03,0.3326,-0.5304,-0.6461,-1.0893093742260611,1.0,True,,7021,30,,,price_ratio_centered + seasonality + role,low_confidence,0.4432093742260611,True
Industrial_|_Manipulación_Ligera_Community_01,0.2668,-1.5483,-1.423,-1.0893093742260611,1.0,True,,7393,32,,,price_ratio_centered + seasonality + role,reliable,0.33369062577393893,False
Industrial_|_Manipulación_Ligera_Community_02,0.2738,-1.3898,-1.3399,-1.0893093742260611,1.0,True,,7243,31,,,price_ratio_centered + seasonality + role,reliable,0.250590625773939,False
Industrial_|_Manipulación_Ligera_Community_03,0.3434,-1.2843,-1.2828,-1.0893093742260611,1.0,True,,3701,16,,,price_ratio_centered + seasonality + role,reliable,0.19349062577393883,False
Industrial_|_Portuario/Especial_Community_01,0.1173,-0.475,-0.6311,-1.0893093742260611,1.0,True,,8397,36,,,price_ratio_centered + seasonality + role,low_confidence,0.4582093742260611,True
Industrial_|_Portuario/Especial_Community_02,0.3708,-0.347,-0.4328,-1.0893093742260611,1.0,True,,4846,21,,,price_ratio_centered + seasonality + role,low_confidence,0.656509374226061,True
Industrial_|_Portuario/Especial_Community_03,0.223,-0.2032,-0.4668,-1.0893093742260611,1.0,True,,5337,23,,,price_ratio_centered + seasonality + role,low_confidence,0.6225093742260611,True
SUV_/_4x4_|_All_Terrain_(A/T)_Community_01,0.2813,-0.9626,-1.1021,-1.0893093742260611,1.0,True,,7478,32,,,price_ratio_centered + seasonality + role,reliable,0.012790625773938968,False
SUV_/_4x4_|_All_Terrain_(A/T)_Community_02,0.681,-1.076,-1.076,-1.0893093742260611,1.0,True,,2593,11,,,price_ratio_centered + seasonality + role,reliable,0.013309374226061044,False
SUV_/_4x4_|_All_Terrain_(A/T)_Community_03,0.3635,-1.0877,-1.1406,-1.0893093742260611,1.0,True,,8151,35,,,price_ratio_centered + seasonality + role,reliable,0.05129062577393895,False
SUV_/_4x4_|_All_Terrain_(A/T)_Community_04,0.6821,-1.2567,-1.2567,-1.0893093742260611,1.0,True,,477,2,,,price_ratio_centered + seasonality + role,reliable,0.16739062577393882,False
SUV_/_4x4_|_Highway_Terrain_(H/T)_Community_01,0.3396,-1.6596,-1.6442,-1.0893093742260611,1.0,True,,8635,37,,,price_ratio_centered + seasonality + role,low_confidence,0.554890625773939,True
SUV_/_4x4_|_Highway_Terrain_(H/T)_Community_02,0.5737,-1.6704,-1.6704,-1.0893093742260611,1.0,True,,1819,8,,,price_ratio_centered + seasonality + role,structural_outlier,0.581090625773939,True
