community,clan_from_id,sku_from,role_b2b_sku_from,sku_to,elasticity_cross
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Nokian_Agrícola_Implementos_0078,1.1355
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Nexen_Agrícola_Implementos_0045,0.7149
Agrícola_|_Implementos_Community_01,0,Fulda_Agrícola_Implementos_0017,KVI,Cooper Tires_Agrícola_Implementos_0031,0.6092
Agrícola_|_Implementos_Community_01,0,Tracmax_Agrícola_Implementos_0015,KVI,Cooper Tires_Agrícola_Implementos_0031,0.5474
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Fulda_Agrícola_Implementos_0048,0.5469
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Hankook_Agrícola_Implementos_0024,0.5282
Agrícola_|_Implementos_Community_01,0,Fulda_Agrícola_Implementos_0017,KVI,Dunlop_Agrícola_Implementos_0057,0.5052
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Toyo Tires_Agrícola_Implementos_0033,0.4926
Agrícola_|_Implementos_Community_01,0,Fulda_Agrícola_Implementos_0017,KVI,Michelin_Agrícola_Implementos_0038,0.4283
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Cooper Tires_Agrícola_Implementos_0031,0.4203
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Michelin_Agrícola_Implementos_0066,0.3945
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Wanli_Agrícola_Implementos_0065,0.338
Agrícola_|_Implementos_Community_01,0,Fulda_Agrícola_Implementos_0017,KVI,Vredestein_Agrícola_Implementos_0044,0.3276
Agrícola_|_Implementos_Community_01,0,Tracmax_Agrícola_Implementos_0015,KVI,Yokohama_Agrícola_Implementos_0039,0.3258
Agrícola_|_Implementos_Community_01,0,Fulda_Agrícola_Implementos_0017,KVI,BFGoodrich_Agrícola_Implementos_0069,0.3061
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0078,Competitive Fighter,BFGoodrich_Agrícola_Implementos_0072,0.2909
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Hankook_Agrícola_Implementos_0049,0.2889
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Vredestein_Agrícola_Implementos_0044,0.2805
Agrícola_|_Implementos_Community_01,0,Tracmax_Agrícola_Implementos_0015,KVI,Michelin_Agrícola_Implementos_0066,0.2763
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Tracmax_Agrícola_Implementos_0015,0.2695
Agrícola_|_Implementos_Community_01,0,Tracmax_Agrícola_Implementos_0015,KVI,Wanli_Agrícola_Implementos_0025,0.2527
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0078,Competitive Fighter,Tracmax_Agrícola_Implementos_0015,0.2328
Agrícola_|_Implementos_Community_01,0,Nexen_Agrícola_Implementos_0045,Traffic Driver,Vredestein_Agrícola_Implementos_0030,0.2081
Agrícola_|_Implementos_Community_01,0,Nexen_Agrícola_Implementos_0045,Traffic Driver,Fulda_Agrícola_Implementos_0017,0.1981
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Dunlop_Agrícola_Implementos_0009,0.1845
Agrícola_|_Implementos_Community_01,0,Tracmax_Agrícola_Implementos_0015,KVI,Nokian_Agrícola_Implementos_0014,0.1843
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Michelin_Agrícola_Implementos_0038,0.1732
Agrícola_|_Implementos_Community_01,0,Nexen_Agrícola_Implementos_0045,Traffic Driver,Nokian_Agrícola_Implementos_0078,0.1612
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0078,Competitive Fighter,Vredestein_Agrícola_Implementos_0056,0.1515
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Pirelli_Agrícola_Implementos_0059,0.1383
Agrícola_|_Implementos_Community_01,0,Tracmax_Agrícola_Implementos_0015,KVI,Michelin_Agrícola_Implementos_0037,0.1251
Agrícola_|_Implementos_Community_01,0,Nexen_Agrícola_Implementos_0045,Traffic Driver,Yokohama_Agrícola_Implementos_0039,0.1169
Agrícola_|_Implementos_Community_01,0,Nexen_Agrícola_Implementos_0045,Traffic Driver,BFGoodrich_Agrícola_Implementos_0069,0.1146
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Uniroyal_Agrícola_Implementos_0019,0.1037
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0014,Premium Leader,Yokohama_Agrícola_Implementos_0039,0.1024
Agrícola_|_Implementos_Community_01,0,Cooper Tires_Agrícola_Implementos_0031,Traffic Driver,Michelin_Agrícola_Implementos_0038,0.0952
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0078,Competitive Fighter,Michelin_Agrícola_Implementos_0038,0.0889
Agrícola_|_Implementos_Community_01,0,Nokian_Agrícola_Implementos_0078,Competitive Fighter,Kumho_Agrícola_Implementos_0005,0.0836
Agrícola_|_Implementos_Community_01,0,Tracmax_Agrícola_Implementos_0015,KVI,Nokian_Agrícola_Implementos_0067,0.0751
Agrícola_|_Implementos_Community_01,0,Fulda_Agrícola_Implementos_0017,KVI,Wanli_Agrícola_Implementos_0025,0.0508
Agrícola_|_Implementos_Community_01,1,Wanli_Agrícola_Implementos_0061,Premium Leader,Hankook_Agrícola_Implementos_0049,1.0721
Agrícola_|_Implementos_Community_01,1,Hankook_Agrícola_Implementos_0049,KVI,Nokian_Agrícola_Implementos_0067,0.7153
Agrícola_|_Implementos_Community_01,1,Wanli_Agrícola_Implementos_0025,KVI,Nokian_Agrícola_Implementos_0067,0.7059
Agrícola_|_Implementos_Community_01,1,Nokian_Agrícola_Implementos_0067,Competitive Fighter,Wanli_Agrícola_Implementos_0065,0.6329
Agrícola_|_Implementos_Community_01,1,Nokian_Agrícola_Implementos_0067,Competitive Fighter,Tracmax_Agrícola_Implementos_0015,0.4848
Agrícola_|_Implementos_Community_01,1,Wanli_Agrícola_Implementos_0025,KVI,Fulda_Agrícola_Implementos_0017,0.4755
Agrícola_|_Implementos_Community_01,1,Vredestein_Agrícola_Implementos_0044,Traffic Driver,Wanli_Agrícola_Implementos_0061,0.4546
Agrícola_|_Implementos_Community_01,1,Hankook_Agrícola_Implementos_0049,KVI,Fulda_Agrícola_Implementos_0048,0.3767
Agrícola_|_Implementos_Community_01,1,Nokian_Agrícola_Implementos_0067,Competitive Fighter,Kumho_Agrícola_Implementos_0005,0.3659
Agrícola_|_Implementos_Community_01,1,Wanli_Agrícola_Implementos_0061,Premium Leader,Nexen_Agrícola_Implementos_0002,0.3572
Agrícola_|_Implementos_Community_01,1,Vredestein_Agrícola_Implementos_0044,Traffic Driver,BFGoodrich_Agrícola_Implementos_0069,0.336
