sku,price_family,community,role_b2b,elasticity_operative,price_mean,cost_mean,q_mean,q_total,revenue_total,current_margin_pct,optimal_markup,suggested_price
BFGoodrich_Agrícola_Implementos_0021,Agrícola | Implementos,Agrícola_|_Implementos_Community_02,Competitive Fighter,-1.1836012557010578,638.8586356223176,176.40355193133047,135.50296137339055,31572.19,19327690.55,0.7238770173944753,0.8448791306897447,325.4432315376562
BFGoodrich_Agrícola_Implementos_0069,Agrícola | Implementos,Agrícola_|_Implementos_Community_01,Traffic Driver,-1.0503127043502312,607.0287116465864,169.6429309236948,89.78309236947791,22355.99,12929309.28,0.7205355732457326,0.9520974047616069,331.15952519229717
BFGoodrich_Agrícola_Implementos_0072,Agrícola | Implementos,Agrícola_|_Implementos_Community_01,Traffic Driver,-1.0782096174163005,651.7064727272727,160.90420371900828,84.78053719008264,20516.89,12777239.78,0.7531032597456743,0.9274634392487491,310.13696988982105
BFGoodrich_Agrícola_Premium Radial_0047,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_03,Premium Leader,-0.7785392138564653,1839.8503626556017,550.5918518672199,35.18547717842324,8479.7,15071101.05,0.7007409607635117,1.2844568163067045,1257.803309001002
BFGoodrich_Agrícola_Premium Radial_0065,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_02,KVI,-0.7038657221843071,1687.9942836283185,627.1362181415928,28.874469026548674,6525.63,10704141.71,0.6284725462496396,1.420725528296362,1518.12465297459
BFGoodrich_Agrícola_Tractor_0069,Agrícola | Tractor,Agrícola_|_Tractor_Community_02,Traffic Driver,-0.9381827733467889,1196.0925222689075,322.9820214285714,98.2414705882353,23381.47,26914893.19,0.729969032148202,1.0658903876828711,667.2454534636687
BFGoodrich_Camión_Long Haul_0026,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Premium Leader,-0.9693470331461549,613.7322366141732,199.6873535433071,167.54767716535434,42557.11,25170712.51,0.6746344062926551,1.0316222836669304,405.6892772250593
BFGoodrich_Camión_Long Haul_0037,Camión | Long Haul,Camión_|_Long_Haul_Community_01,Premium Leader,-1.0056505917557175,633.0507987551867,171.08437261410788,118.3588796680498,28524.49,17318034.68,0.7297462179172297,0.9943811580264151,341.2074491743472
BFGoodrich_Camión_Long Haul_0059,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Traffic Driver,-0.8279587157652821,661.4428667999999,162.1791992,95.45036,23862.59,15387926.51,0.754809965697252,1.2077896892186226,358.0575637994931
BFGoodrich_Camión_Long Haul_0068,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Competitive Fighter,-0.9514469859946161,704.1031675105485,211.28973839662447,130.11367088607594,30836.94,21023685.1,0.6999165063499604,1.0510307087206,433.36174188901884
BFGoodrich_Camión_Long Haul_0076,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Premium Leader,-0.9651149377905791,657.7198905172413,176.3205245689655,107.90728448275863,25034.49,15940654.22,0.7319215564086038,1.036146018306672,359.0143340468429
BFGoodrich_Camión_Obras / Mixto_0009,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_01,Premium Leader,-0.8692585657497821,812.3371129554655,233.49838340080973,36.26125506072875,8956.53,7081640.41,0.7125597493000289,1.1504056898621946,502.11625223872545
BFGoodrich_Camión_Obras / Mixto_0010,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_02,Premium Leader,-0.8716020586695368,711.281372016461,223.01397654320988,204.72312757201647,49747.72,34579314.3,0.6864616657807696,1.1473125723526367,478.8807156415906
BFGoodrich_Camión_Obras / Mixto_0011,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_02,Competitive Fighter,-0.8183814816296097,758.1666556521739,218.28199130434783,181.81078260869566,41816.48,30693339.81,0.7120923352708226,1.2219240323091631,485.0060022994302
BFGoodrich_Camión_Obras / Mixto_0031,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_01,Competitive Fighter,-0.8290820921200605,792.580465665236,237.94760472103002,162.8588841201717,37946.12,29107105.3,0.6997811389139983,1.2061531777183636,524.9488642857734
BFGoodrich_Camión_Obras / Mixto_0049,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_03,Competitive Fighter,-0.8189965658634867,760.331250612245,206.15825020408164,101.14836734693877,24781.35,18311586.27,0.7288573236492963,1.2210063407844418,457.8787809082907
BFGoodrich_Camión_Regional_0032,Camión | Regional,Camión_|_Regional_Community_01,Traffic Driver,-0.9967969853753886,656.5033307377049,169.30871639344264,89.9900819672131,21957.579999999998,14048280.08,0.7421053200092793,1.003213306893585,339.16147365241636
BFGoodrich_Camión_Regional_0039,Camión | Regional,Camión_|_Regional_Community_03,Premium Leader,-1.0930332672254517,590.1170099567099,210.84746147186146,123.42316017316017,28510.75,15939028.62,0.642702281218213,0.9148852372429553,403.74869128262037
BFGoodrich_Coche_Budget_0001,Coche | Budget,Coche_|_Budget_Community_02,Premium Leader,-2.6067336910649934,89.53880041666666,31.317667916666668,523.4148333333334,125619.56,10067683.33,0.6502335549400857,0.3836218496072935,43.33180960824534
BFGoodrich_Coche_Budget_0018,Coche | Budget,Coche_|_Budget_Community_01,Traffic Driver,-2.6363856264984626,101.97916541666667,26.877705833333334,206.93729166666665,49664.95,4670983.15,0.7364392449818906,0.3793071809939118,37.07261266455862
BFGoodrich_Coche_Budget_0029,Coche | Budget,Coche_|_Budget_Community_03,Traffic Driver,-2.502325794101425,105.26420769230769,31.193850607287448,80.75518218623482,19946.53,1931882.1199999999,0.7036613746386753,0.3996282188183637,43.659793563563866
BFGoodrich_Coche_Budget_0045,Coche | Budget,Coche_|_Budget_Community_02,Competitive Fighter,-2.488724517415948,100.7311869747899,29.018876470588232,146.5829831932773,34886.75,3268634.24,0.7119176558710578,0.4018122508144468,40.67901654134168
BFGoodrich_Coche_Eco_0027,Coche | Eco,Coche_|_Eco_Community_01,Competitive Fighter,-1.3663461458894353,190.27055896414345,56.24103266932271,182.6535059760956,45846.03,8289347.15,0.7044154756494863,0.7318789627419346,97.40266132288188
BFGoodrich_Coche_Eco_0029,Coche | Eco,Coche_|_Eco_Community_02,Competitive Fighter,-1.4314650216451057,186.87330522088354,55.37570602409639,161.39397590361446,40187.1,7156902.96,0.7036724643006527,0.6985850054867242,94.06034392077099
BFGoodrich_Coche_Eco_0035,Coche | Eco,Coche_|_Eco_Community_01,Premium Leader,-1.4496964138563087,182.1818088105727,53.5226013215859,253.10493392070484,57454.82,9900019.65,0.7062132510867913,0.6897995955856163,90.44247006790603
BFGoodrich_Coche_Eco_0063,Coche | Eco,Coche_|_Eco_Community_02,Traffic Driver,-1.3170212132320567,194.55273665338646,42.43276414342629,152.61557768924303,38306.51,7114043.11,0.7818958248887337,0.759289212620907,74.65150421921709
BFGoodrich_Coche_Eco_0069,Coche | Eco,Coche_|_Eco_Community_01,KVI,-1.3603304900356101,178.04003415637862,61.87098065843622,238.38687242798355,57928.01,9834093.48,0.652488380202776,0.7351154791611136,107.35329625133055
BFGoodrich_Coche_Eco_0071,Coche | Eco,Coche_|_Eco_Community_01,KVI,-1.3642775459772332,192.9306421686747,58.61345261044177,234.45738955823293,58379.89,10719652.66,0.6961941765621793,0.7329886817742054,101.57644997360433
BFGoodrich_Coche_Performance_0001,Coche | Performance,Coche_|_Performance_Community_01,Traffic Driver,-0.9592290533677987,349.05039392523366,104.70991355140187,111.70556074766355,23904.99,8104448.5,0.7000149108159132,1.0425038696326563,213.87040361763925
BFGoodrich_Coche_Performance_0022,Coche | Performance,Coche_|_Performance_Community_02,Traffic Driver,-0.9829266242373521,354.83523134920637,104.16994603174604,191.25924603174604,48197.33,16338246.65,0.7064272743277046,1.0173699392626536,210.14931769905743
BFGoodrich_Coche_Performance_0037,Coche | Performance,Coche_|_Performance_Community_02,Competitive Fighter,-1.0685194388093866,397.2906965217391,113.9988804347826,78.29234782608697,18007.24,6887083.56,0.713059275153339,0.935874410590288,220.6875154696375
BFGoodrich_Coche_Performance_0041,Coche | Performance,Coche_|_Performance_Community_01,Premium Leader,-1.1529175159068783,327.8223813278008,99.60572821576764,207.44327800829876,49993.83,15675126.1,0.6961594635109173,0.8673647387631246,186.00022464894775
BFGoodrich_Coche_Touring_0028,Coche | Touring,Coche_|_Touring_Community_01,Premium Leader,-1.895590637525309,150.48050205761317,52.725803703703704,212.51567901234566,51641.31,7267132.15,0.6496170401962307,0.5275400607092566,80.5407773904999
BFGoodrich_Coche_Touring_0065,Coche | Touring,Coche_|_Touring_Community_02,Competitive Fighter,-1.8094642528890101,156.96351686746988,43.190089558232934,177.1009638554217,44098.14,6492378.03,0.7248399473955472,0.5526497682412842,67.05908254291067
BFGoodrich_Coche_Touring_0067,Coche | Touring,Coche_|_Touring_Community_01,Competitive Fighter,-1.8455336125819022,166.69492226720646,39.39915182186235,172.36412955465588,42573.94,6683116.61,0.763645159156637,0.5418487060774795,60.747531257088625
