community,mes,total_revenue,n_skus,avg_core_revenue_pct,stable_core_pct,volatile_core_pct,structural_status,alert_archetype,high_risk
Camión_|_Long_Haul_Community_03,2022-10-01,3916404.1599999997,8,1.0000000000000002,0.375,0.125,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_03,2023-01-01,3761957.6399999997,8,1.0000000000000002,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_03,2024-09-01,4062806.8899999997,8,1.0000000000000002,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_03,2025-01-01,2735332.1399999997,8,1.0000000000000002,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Regional_Community_01,2020-02-01,9977628.04,35,1.0000000000000002,0.0,0.6285714285714286,Structurally Fragile,Balanced,True
Camión_|_Regional_Community_02,2020-02-01,6020548.6,20,1.0000000000000002,0.0,0.6,Structurally Fragile,Balanced,True
Industrial_|_Manipulación_Ligera_Community_02,2021-02-01,4107667.01,16,1.0000000000000002,0.5,0.125,Structurally Fragile,Balanced,True
Industrial_|_Manipulación_Ligera_Community_03,2020-02-01,7456998.2299999995,31,1.0000000000000002,0.0,0.6451612903225806,Structurally Fragile,Balanced,True
SUV_/_4x4_|_Highway_Terrain_(H/T)_Community_03,2021-01-01,1830851.88,7,1.0000000000000002,0.42857142857142855,0.14285714285714285,Structurally Fragile,Balanced,True
Agrícola_|_Implementos_Community_01,2020-02-01,9886715.88,38,1.0,0.0,0.631578947368421,Structurally Fragile,Balanced,True
Agrícola_|_Implementos_Community_02,2020-02-01,11945335.37,42,1.0,0.0,0.6190476190476191,Structurally Fragile,Balanced,True
Agrícola_|_Premium_Radial_Community_01,2020-02-01,3423448.75,18,1.0,0.0,0.6111111111111112,Structurally Fragile,Balanced,True
Agrícola_|_Premium_Radial_Community_01,2020-10-01,4591161.86,18,1.0,0.5,0.05555555555555555,Structurally Fragile,Balanced,True
Agrícola_|_Premium_Radial_Community_01,2023-11-01,4119112.93,18,1.0,0.5,0.1111111111111111,Structurally Fragile,Balanced,True
Agrícola_|_Premium_Radial_Community_01,2024-10-01,4505552.7,18,1.0,0.5,0.05555555555555555,Structurally Fragile,Balanced,True
Agrícola_|_Premium_Radial_Community_02,2020-02-01,7637321.25,33,1.0,0.0,0.6060606060606061,Structurally Fragile,Balanced,True
Agrícola_|_Premium_Radial_Community_03,2020-02-01,6981073.94,29,1.0,0.0,0.6551724137931034,Structurally Fragile,Balanced,True
Agrícola_|_Tractor_Community_01,2020-02-01,12186977.9,40,1.0,0.0,0.625,Structurally Fragile,Balanced,True
Agrícola_|_Tractor_Community_02,2020-02-01,10951184.95,40,1.0,0.0,0.65,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_01,2020-02-01,13309759.33,39,1.0,0.0,0.6410256410256411,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-02-01,1016962.8,2,1.0,0.0,0.5,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-03-01,1264726.28,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-04-01,1016748.98,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-05-01,1335800.13,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-06-01,1105740.44,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-07-01,970964.83,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-08-01,1208692.82,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-09-01,990149.51,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-10-01,1148417.5899999999,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-11-01,1075782.8599999999,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2020-12-01,994827.63,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-01-01,1245133.96,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-02-01,1039574.03,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-03-01,1062399.03,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-04-01,1107483.63,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-05-01,1268318.74,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-06-01,1343011.47,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-07-01,1141145.27,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-08-01,1411640.44,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-09-01,940488.5900000001,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-10-01,1249795.44,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-11-01,948459.0,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2021-12-01,916667.31,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-01-01,1252835.29,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-02-01,901904.8899999999,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-03-01,1026726.51,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-04-01,907834.51,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-05-01,1374579.0999999999,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-06-01,1066489.77,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-07-01,1229474.48,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-08-01,1085668.19,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-09-01,905643.77,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-10-01,1271270.98,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-11-01,873226.4199999999,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2022-12-01,903335.5700000001,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-01-01,1006566.75,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-02-01,887661.32,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-03-01,999447.78,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-04-01,1077518.35,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-05-01,1004939.57,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-06-01,1085388.42,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-07-01,1365527.66,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-08-01,933766.4300000002,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-09-01,1093788.3,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-10-01,1132145.52,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-11-01,815732.73,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2023-12-01,1095527.5,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-01-01,936447.24,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-02-01,932269.24,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-03-01,1340179.2599999998,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-04-01,981614.8999999999,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-05-01,926273.1100000001,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-06-01,1213542.56,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-07-01,1027229.25,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
Camión_|_Long_Haul_Community_02,2024-08-01,1131295.48,2,1.0,0.5,0.0,Structurally Fragile,Balanced,True
