sku_target,sku_cannibal,community,role_target,cannibal_score,same_role,price_ratio
BFGoodrich_Agrícola_Implementos_0069,BFGoodrich_Agrícola_Implementos_0072,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4857,True,0.931
BFGoodrich_Agrícola_Implementos_0069,Continental_Agrícola_Implementos_0040,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4486,False,0.91
BFGoodrich_Agrícola_Implementos_0069,Cooper Tires_Agrícola_Implementos_0031,Agrícola_|_Implementos_Community_01,Traffic Driver,0.534,True,0.978
BFGoodrich_Agrícola_Implementos_0069,Dunlop_Agrícola_Implementos_0009,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4334,False,0.965
BFGoodrich_Agrícola_Implementos_0069,Dunlop_Agrícola_Implementos_0057,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4704,False,0.909
BFGoodrich_Agrícola_Implementos_0069,Fulda_Agrícola_Implementos_0017,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4569,False,0.979
BFGoodrich_Agrícola_Implementos_0069,Fulda_Agrícola_Implementos_0048,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4674,False,0.956
BFGoodrich_Agrícola_Implementos_0069,General Tire_Agrícola_Implementos_0075,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4759,False,0.962
BFGoodrich_Agrícola_Implementos_0069,Hankook_Agrícola_Implementos_0024,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4673,False,0.922
BFGoodrich_Agrícola_Implementos_0069,Hankook_Agrícola_Implementos_0046,Agrícola_|_Implementos_Community_01,Traffic Driver,0.505,False,0.962
BFGoodrich_Agrícola_Implementos_0069,Hankook_Agrícola_Implementos_0049,Agrícola_|_Implementos_Community_01,Traffic Driver,0.5017,False,0.915
BFGoodrich_Agrícola_Implementos_0069,Kumho_Agrícola_Implementos_0005,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4151,False,0.821
BFGoodrich_Agrícola_Implementos_0069,Linglong_Agrícola_Implementos_0053,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4613,False,0.885
BFGoodrich_Agrícola_Implementos_0069,Michelin_Agrícola_Implementos_0037,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4345,False,0.944
BFGoodrich_Agrícola_Implementos_0069,Michelin_Agrícola_Implementos_0038,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4101,False,0.874
BFGoodrich_Agrícola_Implementos_0069,Michelin_Agrícola_Implementos_0066,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4503,False,0.904
BFGoodrich_Agrícola_Implementos_0069,Nexen_Agrícola_Implementos_0002,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4425,False,0.824
BFGoodrich_Agrícola_Implementos_0069,Nexen_Agrícola_Implementos_0045,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4792,True,0.97
BFGoodrich_Agrícola_Implementos_0069,Nokian_Agrícola_Implementos_0014,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4231,False,0.857
BFGoodrich_Agrícola_Implementos_0069,Nokian_Agrícola_Implementos_0067,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4907,False,0.937
BFGoodrich_Agrícola_Implementos_0069,Nokian_Agrícola_Implementos_0078,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4578,False,0.941
BFGoodrich_Agrícola_Implementos_0069,Pirelli_Agrícola_Implementos_0029,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4765,False,0.943
BFGoodrich_Agrícola_Implementos_0069,Pirelli_Agrícola_Implementos_0059,Agrícola_|_Implementos_Community_01,Traffic Driver,0.5049,True,0.979
BFGoodrich_Agrícola_Implementos_0069,Toyo Tires_Agrícola_Implementos_0033,Agrícola_|_Implementos_Community_01,Traffic Driver,0.4613,False,0.93
