community,month,seasonal_structural_risk
Agrícola_|_Implementos_Community_01,1,0.0
Agrícola_|_Implementos_Community_01,2,0.16666666666666666
Agrícola_|_Implementos_Community_01,3,0.0
Agrícola_|_Implementos_Community_01,4,0.0
Agrícola_|_Implementos_Community_01,5,0.0
Agrícola_|_Implementos_Community_01,6,0.0
Agrícola_|_Implementos_Community_01,7,0.0
Agrícola_|_Implementos_Community_01,8,0.0
Agrícola_|_Implementos_Community_01,9,0.0
Agrícola_|_Implementos_Community_01,10,0.0
Agrícola_|_Implementos_Community_01,11,0.0
Agrícola_|_Implementos_Community_01,12,0.0
Agrícola_|_Implementos_Community_02,1,0.0
Agrícola_|_Implementos_Community_02,2,0.16666666666666666
Agrícola_|_Implementos_Community_02,3,0.0
Agrícola_|_Implementos_Community_02,4,0.0
Agrícola_|_Implementos_Community_02,5,0.0
Agrícola_|_Implementos_Community_02,6,0.0
Agrícola_|_Implementos_Community_02,7,0.0
Agrícola_|_Implementos_Community_02,8,0.0
Agrícola_|_Implementos_Community_02,9,0.0
Agrícola_|_Implementos_Community_02,10,0.0
Agrícola_|_Implementos_Community_02,11,0.0
Agrícola_|_Implementos_Community_02,12,0.0
Agrícola_|_Premium_Radial_Community_01,1,0.0
Agrícola_|_Premium_Radial_Community_01,2,0.16666666666666666
Agrícola_|_Premium_Radial_Community_01,3,0.0
Agrícola_|_Premium_Radial_Community_01,4,0.0
Agrícola_|_Premium_Radial_Community_01,5,0.0
Agrícola_|_Premium_Radial_Community_01,6,0.0
Agrícola_|_Premium_Radial_Community_01,7,0.0
Agrícola_|_Premium_Radial_Community_01,8,0.0
Agrícola_|_Premium_Radial_Community_01,9,0.0
Agrícola_|_Premium_Radial_Community_01,10,0.3333333333333333
Agrícola_|_Premium_Radial_Community_01,11,0.16666666666666666
Agrícola_|_Premium_Radial_Community_01,12,0.0
Agrícola_|_Premium_Radial_Community_02,1,0.0
Agrícola_|_Premium_Radial_Community_02,2,0.16666666666666666
Agrícola_|_Premium_Radial_Community_02,3,0.0
Agrícola_|_Premium_Radial_Community_02,4,0.0
Agrícola_|_Premium_Radial_Community_02,5,0.0
Agrícola_|_Premium_Radial_Community_02,6,0.0
Agrícola_|_Premium_Radial_Community_02,7,0.0
Agrícola_|_Premium_Radial_Community_02,8,0.0
Agrícola_|_Premium_Radial_Community_02,9,0.0
Agrícola_|_Premium_Radial_Community_02,10,0.0
Agrícola_|_Premium_Radial_Community_02,11,0.0
Agrícola_|_Premium_Radial_Community_02,12,0.0
Agrícola_|_Premium_Radial_Community_03,1,0.0
Agrícola_|_Premium_Radial_Community_03,2,0.16666666666666666
Agrícola_|_Premium_Radial_Community_03,3,0.0
Agrícola_|_Premium_Radial_Community_03,4,0.0
Agrícola_|_Premium_Radial_Community_03,5,0.0
Agrícola_|_Premium_Radial_Community_03,6,0.0
Agrícola_|_Premium_Radial_Community_03,7,0.0
Agrícola_|_Premium_Radial_Community_03,8,0.0
Agrícola_|_Premium_Radial_Community_03,9,0.0
Agrícola_|_Premium_Radial_Community_03,10,0.0
Agrícola_|_Premium_Radial_Community_03,11,0.0
Agrícola_|_Premium_Radial_Community_03,12,0.0
Agrícola_|_Tractor_Community_01,1,0.0
Agrícola_|_Tractor_Community_01,2,0.16666666666666666
Agrícola_|_Tractor_Community_01,3,0.0
Agrícola_|_Tractor_Community_01,4,0.0
Agrícola_|_Tractor_Community_01,5,0.0
Agrícola_|_Tractor_Community_01,6,0.0
Agrícola_|_Tractor_Community_01,7,0.0
Agrícola_|_Tractor_Community_01,8,0.0
Agrícola_|_Tractor_Community_01,9,0.0
Agrícola_|_Tractor_Community_01,10,0.0
Agrícola_|_Tractor_Community_01,11,0.0
Agrícola_|_Tractor_Community_01,12,0.0
Agrícola_|_Tractor_Community_02,1,0.0
Agrícola_|_Tractor_Community_02,2,0.16666666666666666
Agrícola_|_Tractor_Community_02,3,0.0
Agrícola_|_Tractor_Community_02,4,0.0
Agrícola_|_Tractor_Community_02,5,0.0
Agrícola_|_Tractor_Community_02,6,0.0
Agrícola_|_Tractor_Community_02,7,0.0
Agrícola_|_Tractor_Community_02,8,0.0
Agrícola_|_Tractor_Community_02,9,0.0
Agrícola_|_Tractor_Community_02,10,0.0
Agrícola_|_Tractor_Community_02,11,0.0
Agrícola_|_Tractor_Community_02,12,0.0
Camión_|_Long_Haul_Community_01,1,0.0
Camión_|_Long_Haul_Community_01,2,0.16666666666666666
Camión_|_Long_Haul_Community_01,3,0.0
Camión_|_Long_Haul_Community_01,4,0.0
Camión_|_Long_Haul_Community_01,5,0.0
Camión_|_Long_Haul_Community_01,6,0.0
Camión_|_Long_Haul_Community_01,7,0.0
Camión_|_Long_Haul_Community_01,8,0.0
Camión_|_Long_Haul_Community_01,9,0.0
Camión_|_Long_Haul_Community_01,10,0.0
Camión_|_Long_Haul_Community_01,11,0.0
Camión_|_Long_Haul_Community_01,12,0.0
Camión_|_Long_Haul_Community_02,1,1.0
Camión_|_Long_Haul_Community_02,2,1.0
Camión_|_Long_Haul_Community_02,3,1.0
Camión_|_Long_Haul_Community_02,4,1.0
Camión_|_Long_Haul_Community_02,5,1.0
Camión_|_Long_Haul_Community_02,6,1.0
Camión_|_Long_Haul_Community_02,7,1.0
Camión_|_Long_Haul_Community_02,8,1.0
Camión_|_Long_Haul_Community_02,9,1.0
Camión_|_Long_Haul_Community_02,10,1.0
Camión_|_Long_Haul_Community_02,11,1.0
Camión_|_Long_Haul_Community_02,12,1.0
Camión_|_Long_Haul_Community_03,1,1.0
Camión_|_Long_Haul_Community_03,2,1.0
Camión_|_Long_Haul_Community_03,3,1.0
Camión_|_Long_Haul_Community_03,4,1.0
Camión_|_Long_Haul_Community_03,5,1.0
Camión_|_Long_Haul_Community_03,6,1.0
Camión_|_Long_Haul_Community_03,7,1.0
Camión_|_Long_Haul_Community_03,8,1.0
Camión_|_Long_Haul_Community_03,9,1.0
Camión_|_Long_Haul_Community_03,10,1.0
Camión_|_Long_Haul_Community_03,11,1.0
Camión_|_Long_Haul_Community_03,12,1.0
Camión_|_Long_Haul_Community_04,1,0.0
Camión_|_Long_Haul_Community_04,2,0.16666666666666666
Camión_|_Long_Haul_Community_04,3,0.0
Camión_|_Long_Haul_Community_04,4,0.0
Camión_|_Long_Haul_Community_04,5,0.0
Camión_|_Long_Haul_Community_04,6,0.0
Camión_|_Long_Haul_Community_04,7,0.0
Camión_|_Long_Haul_Community_04,8,0.0
Camión_|_Long_Haul_Community_04,9,0.0
Camión_|_Long_Haul_Community_04,10,0.0
Camión_|_Long_Haul_Community_04,11,0.0
Camión_|_Long_Haul_Community_04,12,0.0
Camión_|_Obras_/_Mixto_Community_01,1,0.0
Camión_|_Obras_/_Mixto_Community_01,2,0.16666666666666666
Camión_|_Obras_/_Mixto_Community_01,3,0.0
Camión_|_Obras_/_Mixto_Community_01,4,0.0
Camión_|_Obras_/_Mixto_Community_01,5,0.0
Camión_|_Obras_/_Mixto_Community_01,6,0.16666666666666666
Camión_|_Obras_/_Mixto_Community_01,7,0.3333333333333333
Camión_|_Obras_/_Mixto_Community_01,8,0.0
Camión_|_Obras_/_Mixto_Community_01,9,0.0
Camión_|_Obras_/_Mixto_Community_01,10,0.0
Camión_|_Obras_/_Mixto_Community_01,11,0.0
Camión_|_Obras_/_Mixto_Community_01,12,0.0
Camión_|_Obras_/_Mixto_Community_02,1,0.0
Camión_|_Obras_/_Mixto_Community_02,2,0.16666666666666666
Camión_|_Obras_/_Mixto_Community_02,3,0.0
Camión_|_Obras_/_Mixto_Community_02,4,0.0
Camión_|_Obras_/_Mixto_Community_02,5,0.0
Camión_|_Obras_/_Mixto_Community_02,6,0.0
Camión_|_Obras_/_Mixto_Community_02,7,0.0
Camión_|_Obras_/_Mixto_Community_02,8,0.0
Camión_|_Obras_/_Mixto_Community_02,9,0.0
Camión_|_Obras_/_Mixto_Community_02,10,0.0
Camión_|_Obras_/_Mixto_Community_02,11,0.0
Camión_|_Obras_/_Mixto_Community_02,12,0.0
Camión_|_Obras_/_Mixto_Community_03,1,0.0
Camión_|_Obras_/_Mixto_Community_03,2,0.16666666666666666
Camión_|_Obras_/_Mixto_Community_03,3,0.0
Camión_|_Obras_/_Mixto_Community_03,4,0.16666666666666666
Camión_|_Obras_/_Mixto_Community_03,5,0.0
Camión_|_Obras_/_Mixto_Community_03,6,0.0
Camión_|_Obras_/_Mixto_Community_03,7,0.0
Camión_|_Obras_/_Mixto_Community_03,8,0.0
Camión_|_Obras_/_Mixto_Community_03,9,0.0
Camión_|_Obras_/_Mixto_Community_03,10,0.0
Camión_|_Obras_/_Mixto_Community_03,11,0.0
Camión_|_Obras_/_Mixto_Community_03,12,0.0
Camión_|_Regional_Community_01,1,0.0
Camión_|_Regional_Community_01,2,0.16666666666666666
Camión_|_Regional_Community_01,3,0.0
Camión_|_Regional_Community_01,4,0.0
Camión_|_Regional_Community_01,5,0.0
Camión_|_Regional_Community_01,6,0.0
Camión_|_Regional_Community_01,7,0.0
Camión_|_Regional_Community_01,8,0.0
Camión_|_Regional_Community_01,9,0.0
Camión_|_Regional_Community_01,10,0.0
Camión_|_Regional_Community_01,11,0.0
Camión_|_Regional_Community_01,12,0.0
Camión_|_Regional_Community_02,1,0.0
Camión_|_Regional_Community_02,2,0.16666666666666666
Camión_|_Regional_Community_02,3,0.0
Camión_|_Regional_Community_02,4,0.0
Camión_|_Regional_Community_02,5,0.0
Camión_|_Regional_Community_02,6,0.0
Camión_|_Regional_Community_02,7,0.0
Camión_|_Regional_Community_02,8,0.0
Camión_|_Regional_Community_02,9,0.0
Camión_|_Regional_Community_02,10,0.0
Camión_|_Regional_Community_02,11,0.0
Camión_|_Regional_Community_02,12,0.0
Camión_|_Regional_Community_03,1,0.0
Camión_|_Regional_Community_03,2,0.16666666666666666
Camión_|_Regional_Community_03,3,0.0
Camión_|_Regional_Community_03,4,0.0
Camión_|_Regional_Community_03,5,0.0
Camión_|_Regional_Community_03,6,0.0
Camión_|_Regional_Community_03,7,0.0
Camión_|_Regional_Community_03,8,0.0
Camión_|_Regional_Community_03,9,0.0
Camión_|_Regional_Community_03,10,0.0
Camión_|_Regional_Community_03,11,0.0
Camión_|_Regional_Community_03,12,0.0
Coche_|_Budget_Community_01,1,0.4
Coche_|_Budget_Community_01,2,0.3333333333333333
Coche_|_Budget_Community_01,3,0.16666666666666666
Coche_|_Budget_Community_01,4,0.16666666666666666
Coche_|_Budget_Community_01,5,0.3333333333333333
Coche_|_Budget_Community_01,6,0.5
Coche_|_Budget_Community_01,7,0.5
Coche_|_Budget_Community_01,8,0.16666666666666666
Coche_|_Budget_Community_01,9,0.8333333333333334
Coche_|_Budget_Community_01,10,0.3333333333333333
Coche_|_Budget_Community_01,11,0.3333333333333333
Coche_|_Budget_Community_01,12,0.5
Coche_|_Budget_Community_02,1,0.0
Coche_|_Budget_Community_02,2,0.16666666666666666
Coche_|_Budget_Community_02,3,0.0
Coche_|_Budget_Community_02,4,0.0
Coche_|_Budget_Community_02,5,0.0
Coche_|_Budget_Community_02,6,0.0
Coche_|_Budget_Community_02,7,0.0
Coche_|_Budget_Community_02,8,0.16666666666666666
Coche_|_Budget_Community_02,9,0.0
Coche_|_Budget_Community_02,10,0.0
Coche_|_Budget_Community_02,11,0.0
Coche_|_Budget_Community_02,12,0.0
Coche_|_Budget_Community_03,1,0.0
Coche_|_Budget_Community_03,2,0.16666666666666666
Coche_|_Budget_Community_03,3,0.16666666666666666
Coche_|_Budget_Community_03,4,0.16666666666666666
Coche_|_Budget_Community_03,5,0.5
Coche_|_Budget_Community_03,6,0.16666666666666666
Coche_|_Budget_Community_03,7,0.16666666666666666
Coche_|_Budget_Community_03,8,0.16666666666666666
Coche_|_Budget_Community_03,9,0.16666666666666666
Coche_|_Budget_Community_03,10,0.3333333333333333
Coche_|_Budget_Community_03,11,0.3333333333333333
Coche_|_Budget_Community_03,12,0.3333333333333333
Coche_|_Eco_Community_01,1,0.0
Coche_|_Eco_Community_01,2,0.16666666666666666
Coche_|_Eco_Community_01,3,0.0
Coche_|_Eco_Community_01,4,0.0
Coche_|_Eco_Community_01,5,0.0
Coche_|_Eco_Community_01,6,0.0
Coche_|_Eco_Community_01,7,0.0
Coche_|_Eco_Community_01,8,0.0
Coche_|_Eco_Community_01,9,0.0
Coche_|_Eco_Community_01,10,0.0
Coche_|_Eco_Community_01,11,0.0
Coche_|_Eco_Community_01,12,0.0
Coche_|_Eco_Community_02,1,0.0
Coche_|_Eco_Community_02,2,0.16666666666666666
Coche_|_Eco_Community_02,3,0.0
Coche_|_Eco_Community_02,4,0.0
Coche_|_Eco_Community_02,5,0.0
Coche_|_Eco_Community_02,6,0.0
Coche_|_Eco_Community_02,7,0.0
Coche_|_Eco_Community_02,8,0.0
Coche_|_Eco_Community_02,9,0.0
Coche_|_Eco_Community_02,10,0.0
Coche_|_Eco_Community_02,11,0.0
Coche_|_Eco_Community_02,12,0.0
Coche_|_Performance_Community_01,1,0.0
Coche_|_Performance_Community_01,2,0.16666666666666666
Coche_|_Performance_Community_01,3,0.0
Coche_|_Performance_Community_01,4,0.0
Coche_|_Performance_Community_01,5,0.0
Coche_|_Performance_Community_01,6,0.0
Coche_|_Performance_Community_01,7,0.0
Coche_|_Performance_Community_01,8,0.0
Coche_|_Performance_Community_01,9,0.0
Coche_|_Performance_Community_01,10,0.0
Coche_|_Performance_Community_01,11,0.0
Coche_|_Performance_Community_01,12,0.0
Coche_|_Performance_Community_02,1,0.4
Coche_|_Performance_Community_02,2,0.3333333333333333
Coche_|_Performance_Community_02,3,0.16666666666666666
Coche_|_Performance_Community_02,4,0.0
Coche_|_Performance_Community_02,5,0.16666666666666666
Coche_|_Performance_Community_02,6,0.3333333333333333
Coche_|_Performance_Community_02,7,0.16666666666666666
Coche_|_Performance_Community_02,8,0.16666666666666666
Coche_|_Performance_Community_02,9,0.6666666666666666
Coche_|_Performance_Community_02,10,0.8333333333333334
Coche_|_Performance_Community_02,11,0.5
Coche_|_Performance_Community_02,12,0.16666666666666666
Coche_|_Performance_Community_03,1,0.0
Coche_|_Performance_Community_03,2,0.16666666666666666
Coche_|_Performance_Community_03,3,0.0
Coche_|_Performance_Community_03,4,0.0
Coche_|_Performance_Community_03,5,0.0
Coche_|_Performance_Community_03,6,0.0
Coche_|_Performance_Community_03,7,0.0
Coche_|_Performance_Community_03,8,0.0
Coche_|_Performance_Community_03,9,0.0
Coche_|_Performance_Community_03,10,0.0
Coche_|_Performance_Community_03,11,0.0
Coche_|_Performance_Community_03,12,0.0
Coche_|_Touring_Community_01,1,0.0
Coche_|_Touring_Community_01,2,0.16666666666666666
Coche_|_Touring_Community_01,3,0.0
Coche_|_Touring_Community_01,4,0.0
Coche_|_Touring_Community_01,5,0.0
Coche_|_Touring_Community_01,6,0.0
Coche_|_Touring_Community_01,7,0.0
Coche_|_Touring_Community_01,8,0.0
Coche_|_Touring_Community_01,9,0.0
Coche_|_Touring_Community_01,10,0.0
Coche_|_Touring_Community_01,11,0.0
Coche_|_Touring_Community_01,12,0.0
Coche_|_Touring_Community_02,1,0.2
Coche_|_Touring_Community_02,2,0.16666666666666666
Coche_|_Touring_Community_02,3,0.0
Coche_|_Touring_Community_02,4,0.0
Coche_|_Touring_Community_02,5,0.0
Coche_|_Touring_Community_02,6,0.0
Coche_|_Touring_Community_02,7,0.0
Coche_|_Touring_Community_02,8,0.0
Coche_|_Touring_Community_02,9,0.0
Coche_|_Touring_Community_02,10,0.3333333333333333
Coche_|_Touring_Community_02,11,0.3333333333333333
Coche_|_Touring_Community_02,12,0.3333333333333333
Coche_|_Touring_Community_03,1,0.0
Coche_|_Touring_Community_03,2,0.16666666666666666
Coche_|_Touring_Community_03,3,0.0
Coche_|_Touring_Community_03,4,0.0
Coche_|_Touring_Community_03,5,0.0
Coche_|_Touring_Community_03,6,0.0
Coche_|_Touring_Community_03,7,0.0
Coche_|_Touring_Community_03,8,0.0
Coche_|_Touring_Community_03,9,0.0
Coche_|_Touring_Community_03,10,0.0
Coche_|_Touring_Community_03,11,0.0
Coche_|_Touring_Community_03,12,0.0
Furgoneta_|_Reforzado_Community_01,1,0.0
Furgoneta_|_Reforzado_Community_01,2,0.16666666666666666
Furgoneta_|_Reforzado_Community_01,3,0.0
Furgoneta_|_Reforzado_Community_01,4,0.0
Furgoneta_|_Reforzado_Community_01,5,0.0
Furgoneta_|_Reforzado_Community_01,6,0.0
Furgoneta_|_Reforzado_Community_01,7,0.0
Furgoneta_|_Reforzado_Community_01,8,0.0
Furgoneta_|_Reforzado_Community_01,9,0.0
Furgoneta_|_Reforzado_Community_01,10,0.0
Furgoneta_|_Reforzado_Community_01,11,0.0
Furgoneta_|_Reforzado_Community_01,12,0.0
Furgoneta_|_Reforzado_Community_02,1,0.0
Furgoneta_|_Reforzado_Community_02,2,0.16666666666666666
Furgoneta_|_Reforzado_Community_02,3,0.0
Furgoneta_|_Reforzado_Community_02,4,0.0
Furgoneta_|_Reforzado_Community_02,5,0.0
Furgoneta_|_Reforzado_Community_02,6,0.0
Furgoneta_|_Reforzado_Community_02,7,0.0
Furgoneta_|_Reforzado_Community_02,8,0.0
Furgoneta_|_Reforzado_Community_02,9,0.0
Furgoneta_|_Reforzado_Community_02,10,0.0
Furgoneta_|_Reforzado_Community_02,11,0.0
Furgoneta_|_Reforzado_Community_02,12,0.0
Furgoneta_|_Reforzado_Community_03,1,0.0
Furgoneta_|_Reforzado_Community_03,2,0.16666666666666666
Furgoneta_|_Reforzado_Community_03,3,0.0
Furgoneta_|_Reforzado_Community_03,4,0.0
Furgoneta_|_Reforzado_Community_03,5,0.0
Furgoneta_|_Reforzado_Community_03,6,0.0
Furgoneta_|_Reforzado_Community_03,7,0.0
Furgoneta_|_Reforzado_Community_03,8,0.0
Furgoneta_|_Reforzado_Community_03,9,0.0
Furgoneta_|_Reforzado_Community_03,10,0.0
Furgoneta_|_Reforzado_Community_03,11,0.0
Furgoneta_|_Reforzado_Community_03,12,0.0
Furgoneta_|_Standard_Community_01,1,0.0
Furgoneta_|_Standard_Community_01,2,0.16666666666666666
Furgoneta_|_Standard_Community_01,3,0.0
Furgoneta_|_Standard_Community_01,4,0.0
Furgoneta_|_Standard_Community_01,5,0.0
Furgoneta_|_Standard_Community_01,6,0.0
Furgoneta_|_Standard_Community_01,7,0.0
Furgoneta_|_Standard_Community_01,8,0.0
Furgoneta_|_Standard_Community_01,9,0.0
Furgoneta_|_Standard_Community_01,10,0.0
Furgoneta_|_Standard_Community_01,11,0.0
Furgoneta_|_Standard_Community_01,12,0.0
Furgoneta_|_Standard_Community_02,1,0.0
Furgoneta_|_Standard_Community_02,2,0.16666666666666666
Furgoneta_|_Standard_Community_02,3,0.0
Furgoneta_|_Standard_Community_02,4,0.0
Furgoneta_|_Standard_Community_02,5,0.0
Furgoneta_|_Standard_Community_02,6,0.0
Furgoneta_|_Standard_Community_02,7,0.0
Furgoneta_|_Standard_Community_02,8,0.0
Furgoneta_|_Standard_Community_02,9,0.0
Furgoneta_|_Standard_Community_02,10,0.0
Furgoneta_|_Standard_Community_02,11,0.0
Furgoneta_|_Standard_Community_02,12,0.0
Furgoneta_|_Standard_Community_03,1,0.0
Furgoneta_|_Standard_Community_03,2,0.16666666666666666
Furgoneta_|_Standard_Community_03,3,0.0
Furgoneta_|_Standard_Community_03,4,0.0
Furgoneta_|_Standard_Community_03,5,0.0
Furgoneta_|_Standard_Community_03,6,0.0
Furgoneta_|_Standard_Community_03,7,0.0
Furgoneta_|_Standard_Community_03,8,0.16666666666666666
Furgoneta_|_Standard_Community_03,9,0.0
Furgoneta_|_Standard_Community_03,10,0.0
Furgoneta_|_Standard_Community_03,11,0.0
Furgoneta_|_Standard_Community_03,12,0.0
Industrial_|_Construcción_Pesada_Community_01,1,0.0
Industrial_|_Construcción_Pesada_Community_01,2,0.16666666666666666
