sku,price_family,community,role_b2b,elasticity_final,elasticity_operative,elasticity_source,price_mean,cost_mean,q_mean,q_total,revenue_total,guardrail_pct,p_min_guardrail,p_max_guardrail
BFGoodrich_Agrícola_Implementos_0021,Agrícola | Implementos,Agrícola_|_Implementos_Community_02,Competitive Fighter,-1.1963516601124633,-1.1836012557010578,blended_GAM_adjusted,638.8586356223176,176.40355193133047,135.50296137339055,31572.19,19327690.55,0.1,574.9727720600858,702.7444991845495
BFGoodrich_Agrícola_Implementos_0069,Agrícola | Implementos,Agrícola_|_Implementos_Community_01,Traffic Driver,-1.0790210986780011,-1.0503127043502312,blended_GAM_adjusted,607.0287116465864,169.6429309236948,89.78309236947791,22355.99,12929309.28,0.08,558.4664147148595,655.5910085783133
BFGoodrich_Agrícola_Implementos_0072,Agrícola | Implementos,Agrícola_|_Implementos_Community_01,Traffic Driver,-1.1063710134486573,-1.0782096174163005,blended_GAM_adjusted,651.7064727272727,160.90420371900828,84.78053719008264,20516.89,12777239.78,0.08,599.5699549090909,703.8429905454547
BFGoodrich_Agrícola_Premium Radial_0047,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_03,Premium Leader,-0.7785392138564653,-0.7785392138564653,sku_hierarchical,1839.8503626556017,550.5918518672199,35.18547717842324,8479.7,15071101.05,0.15,1563.8728082572613,2115.8279170539417
BFGoodrich_Agrícola_Premium Radial_0065,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_02,KVI,-0.7038657221843071,-0.7038657221843071,sku_hierarchical,1687.9942836283185,627.1362181415928,28.874469026548677,6525.63,10704141.71,0.05,1603.5945694469026,1772.3939978097344
BFGoodrich_Agrícola_Tractor_0069,Agrícola | Tractor,Agrícola_|_Tractor_Community_02,Traffic Driver,-0.8781978144601869,-0.9381827733467888,blended_GAM_adjusted,1196.0925222689075,322.9820214285714,98.2414705882353,23381.47,26914893.19,0.08,1100.405120487395,1291.7799240504203
BFGoodrich_Camión_Long Haul_0026,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Premium Leader,-0.9693470331461548,-0.9693470331461548,sku_hierarchical,613.7322366141732,199.6873535433071,167.54767716535434,42557.11,25170712.51,0.15,521.6724011220472,705.7920721062991
BFGoodrich_Camión_Long Haul_0037,Camión | Long Haul,Camión_|_Long_Haul_Community_01,Premium Leader,-0.9847612499168108,-1.0056505917557177,blended_GAM_adjusted,633.0507987551867,171.08437261410788,118.3588796680498,28524.49,17318034.68,0.15,538.0931789419087,728.0084185684647
BFGoodrich_Camión_Long Haul_0059,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Traffic Driver,-0.8279587157652821,-0.8279587157652821,sku_hierarchical,661.4428667999999,162.1791992,95.45036,23862.59,15387926.51,0.08,608.5274374559999,714.358296144
BFGoodrich_Camión_Long Haul_0068,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Competitive Fighter,-0.951446985994616,-0.951446985994616,sku_hierarchical,704.1031675105485,211.28973839662447,130.11367088607594,30836.94,21023685.1,0.1,633.6928507594937,774.5134842616034
BFGoodrich_Camión_Long Haul_0076,Camión | Long Haul,Camión_|_Long_Haul_Community_03,Premium Leader,-0.9651149377905792,-0.9651149377905792,sku_hierarchical,657.7198905172413,176.3205245689655,107.90728448275864,25034.49,15940654.22,0.15,559.061906939655,756.3778740948275
