sku,impact,risk,revenue,segment
BFGoodrich_Agrícola_Implementos_0021,0.03434068479146541,0.3143015668434604,27776747.27,⚠️ VOLATILE (small + risky)
BFGoodrich_Agrícola_Implementos_0069,0.010398478570477024,0.3033500449232596,16713430.95,low
BFGoodrich_Agrícola_Implementos_0072,0.011114171590420073,0.32947955421662406,17356433.07,⚠️ VOLATILE (small + risky)
BFGoodrich_Agrícola_Premium Radial_0047,0.03065876585856826,0.2671173224243979,20017969.25,low
BFGoodrich_Agrícola_Premium Radial_0065,0.0125663387444796,0.2651752547269186,15475154.05,low
BFGoodrich_Agrícola_Tractor_0069,0.10645280997870529,0.2912634823041632,36468860.48,🟢 CORE (big + stable)
BFGoodrich_Camión_Long Haul_0026,0.05948452064638182,0.2657474597979645,31819461.07,🟢 CORE (big + stable)
BFGoodrich_Camión_Long Haul_0037,0.026668207420144058,0.2986424576927437,23232698.1,low
BFGoodrich_Camión_Long Haul_0059,0.015108606300765092,0.24957970221000547,19675370.11,low
BFGoodrich_Camión_Long Haul_0068,0.04560490364057411,0.25381565471672207,28442793.79,low
BFGoodrich_Camión_Long Haul_0076,0.020092344335719697,0.2902197856956128,21973809.73,low
BFGoodrich_Camión_Obras / Mixto_0009,0.011748330670984127,0.2783990490360423,9194105.74,low
BFGoodrich_Camión_Obras / Mixto_0010,0.07942626162221539,0.2401658661874388,45371772.2,🟢 CORE (big + stable)
BFGoodrich_Camión_Obras / Mixto_0011,0.07521509791591663,0.271792403748597,43030256.25,🟢 CORE (big + stable)
BFGoodrich_Camión_Obras / Mixto_0031,0.1269345887355544,0.22669293967192455,39818438.44,🟢 CORE (big + stable)
BFGoodrich_Camión_Obras / Mixto_0049,0.03900932327714781,0.2619598910433835,23846671.11,low
BFGoodrich_Camión_Regional_0032,0.031007405132512992,0.30654155877299766,18586721.34,low
BFGoodrich_Camión_Regional_0039,0.04255362040567137,0.2774016496757177,22732719.54,low
BFGoodrich_Coche_Budget_0001,0.11782762185213125,0.4562952749938424,14547349.97,🔥 CRITICAL (big + risky)
BFGoodrich_Coche_Budget_0018,0.03739752239063155,0.31301806801807586,6708099.14,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Budget_0029,0.009715839729871105,0.35147064960653196,2702316.5,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Budget_0045,0.016174047017253612,0.3725336802198993,4701469.609999999,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Eco_0027,0.02249411442372672,0.3529971196653206,10733616.14,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Eco_0029,0.011603905368386116,0.3570846309657795,9399418.28,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Eco_0035,0.043438182991224976,0.2776413280306836,14774135.48,low
BFGoodrich_Coche_Eco_0063,0.011118367606317459,0.3309313081293987,9309271.57,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Eco_0069,0.038476672893677476,0.390703235579991,13320225.08,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Eco_0071,0.04126226204667374,0.3473339744242357,14222846.42,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Performance_0001,0.010475781352101102,0.3249069764639875,12365631.63,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Performance_0022,0.036892116321752565,0.29066467038226046,20887547.67,low
BFGoodrich_Coche_Performance_0037,0.007050545798966549,0.26690026054969124,9692900.49,low
BFGoodrich_Coche_Performance_0041,0.04305218739841533,0.25430028296972573,21144473.81,low
BFGoodrich_Coche_Touring_0028,0.03148699398602363,0.37035730794512794,9922100.36,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Touring_0065,0.021163928145412573,0.3226895467769334,8542735.14,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Touring_0067,0.02574456824910495,0.372231418800876,9154132.37,⚠️ VOLATILE (small + risky)
BFGoodrich_Coche_Touring_0068,0.038499498415046164,0.3488107519427021,10916320.06,⚠️ VOLATILE (small + risky)
