community,sku_from,sku_to,migration_weight,elasticity_cross
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0000,BFGoodrich_Agrícola_Implementos_0021,0.07430426594801995,0.3606
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0064,BFGoodrich_Agrícola_Implementos_0021,0.05367285829050195,0.203
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,BFGoodrich_Agrícola_Implementos_0021,0.012849373994046592,0.0987
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0006,BFGoodrich_Agrícola_Implementos_0021,0.31794334792904966,0.5623
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0032,BFGoodrich_Agrícola_Implementos_0021,0.1451225951636776,0.4919
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0006,Bridgestone_Agrícola_Implementos_0076,0.14262028711728783,0.172
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0010,Bridgestone_Agrícola_Implementos_0076,0.3580707226232981,0.6096
Agrícola_|_Implementos_Community_02,Hankook_Agrícola_Implementos_0013,Bridgestone_Agrícola_Implementos_0076,0.438341379966627,0.6993
Agrícola_|_Implementos_Community_02,Nokian_Agrícola_Implementos_0068,Bridgestone_Agrícola_Implementos_0076,0.07693428946904869,0.0907
Agrícola_|_Implementos_Community_02,Roadmarch_Agrícola_Implementos_0023,Bridgestone_Agrícola_Implementos_0076,0.15425607679515793,0.2901
Agrícola_|_Implementos_Community_02,Falken_Agrícola_Implementos_0034,Continental_Agrícola_Implementos_0071,0.025317824905493315,0.1229
Agrícola_|_Implementos_Community_02,Nokian_Agrícola_Implementos_0011,Continental_Agrícola_Implementos_0071,0.010350905685697024,0.0977
Agrícola_|_Implementos_Community_02,Roadmarch_Agrícola_Implementos_0004,Continental_Agrícola_Implementos_0071,0.1361691973978679,0.4223
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0043,Continental_Agrícola_Implementos_0071,0.15831648689641528,0.9135
Agrícola_|_Implementos_Community_02,Triangle_Agrícola_Implementos_0047,Continental_Agrícola_Implementos_0071,0.009351450181165207,0.0531
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0000,Dunlop_Agrícola_Implementos_0058,0.11108714535983251,0.4013
Agrícola_|_Implementos_Community_02,Firestone_Agrícola_Implementos_0070,Dunlop_Agrícola_Implementos_0058,0.14411721769822336,0.2126
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Dunlop_Agrícola_Implementos_0058,0.06904759916363966,0.3948
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0054,Dunlop_Agrícola_Implementos_0058,0.07687768089422417,0.2206
Agrícola_|_Implementos_Community_02,Kumho_Agrícola_Implementos_0003,Dunlop_Agrícola_Implementos_0058,0.06900580237640602,0.1872
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0032,Dunlop_Agrícola_Implementos_0058,0.07788025941484261,0.1965
Agrícola_|_Implementos_Community_02,Uniroyal_Agrícola_Implementos_0055,Dunlop_Agrícola_Implementos_0058,0.08755797124875432,0.0713
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Falken_Agrícola_Implementos_0034,0.1322598138189269,0.6471
Agrícola_|_Implementos_Community_02,Goodyear_Agrícola_Implementos_0007,Falken_Agrícola_Implementos_0034,0.3006170596015157,0.1472
Agrícola_|_Implementos_Community_02,Roadmarch_Agrícola_Implementos_0023,Falken_Agrícola_Implementos_0034,0.11857805237691073,0.2083
Agrícola_|_Implementos_Community_02,Tracmax_Agrícola_Implementos_0036,Falken_Agrícola_Implementos_0034,0.22097412923046292,0.1006
Agrícola_|_Implementos_Community_02,Triangle_Agrícola_Implementos_0047,Falken_Agrícola_Implementos_0034,0.15461708305187488,0.2355
Agrícola_|_Implementos_Community_02,Vredestein_Agrícola_Implementos_0062,Falken_Agrícola_Implementos_0034,0.3134948421051188,0.36
Agrícola_|_Implementos_Community_02,Wanli_Agrícola_Implementos_0063,Falken_Agrícola_Implementos_0034,0.097861848439265,0.0827
Agrícola_|_Implementos_Community_02,BFGoodrich_Agrícola_Implementos_0021,Firestone_Agrícola_Implementos_0000,0.37871224017149846,0.6258
Agrícola_|_Implementos_Community_02,Bridgestone_Agrícola_Implementos_0076,Firestone_Agrícola_Implementos_0000,0.0641765971787681,0.1519
Agrícola_|_Implementos_Community_02,Dunlop_Agrícola_Implementos_0058,Firestone_Agrícola_Implementos_0000,0.13460664422647542,0.101
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0020,Firestone_Agrícola_Implementos_0000,0.01541465225558833,0.0573
Agrícola_|_Implementos_Community_02,General Tire_Agrícola_Implementos_0028,Firestone_Agrícola_Implementos_0000,0.005576943833324901,0.0501
Agrícola_|_Implementos_Community_02,Goodyear_Agrícola_Implementos_0007,Firestone_Agrícola_Implementos_0000,0.14826478069870644,0.1333
Agrícola_|_Implementos_Community_02,Nokian_Agrícola_Implementos_0068,Firestone_Agrícola_Implementos_0000,0.08066574492222288,0.1631
Agrícola_|_Implementos_Community_02,Toyo Tires_Agrícola_Implementos_0043,Firestone_Agrícola_Implementos_0000,0.034414431969534184,0.0978
Agrícola_|_Implementos_Community_02,Tracmax_Agrícola_Implementos_0036,Firestone_Agrícola_Implementos_0000,0.2907045047559612,0.243
